DocumentItemID	DocumentID	Date	Quantity	ProductID	Description	DiscountPerc	TaxTypeID	TaxPerc	RetentionPerc	UnitPrice	Total	MustBeDelivered	CostPrice
622207	170380	NULL	12	1634	SOPA NISSIN SABOR A POLLO CON SALSA 64 GR	0	10	0	0	11.828334	141.940008	1	11.828334
622208	170380	NULL	24	5938	FRIJOLES REFRITOS BAYOS ISADORA 450 G	0	10	0	0	15.426251	370.230024	1	15.426251
622209	170380	NULL	12	5170	SUAVIZANTE ENSUEÑO MAX 1 LT	0	5	0.16	0	22.887500666666668	274.650008	1	22.725834
622210	170380	NULL	12	1656	SUAVITEL FRESCA PRIMAVERA 450ML	0	5	0.16	0	15.653334333333333	187.840012	1	15.542501
622211	170380	NULL	48	1669	TALCO PERFUMADO LAS DOS CARAS 125 GRS	0	5	0.16	0	12.223542666666667	586.730048	1	12.136876
622212	170380	NULL	12	4079	SABA INVISIBLE C/ALAS 10 PZAS	0	10	0	0	18.962501	227.550012	1	18.962501
622213	170380	NULL	12	5467	SUEROX ELECTRONITOS SABOR UVA DE 630 ML	0	5	0.16	0	13.765001	165.180012	1	13.667501
622214	170380	NULL	10	4367	TRIGO MOLIDO GRANO DE ORO 400 GRS	0	10	0	0	14.257001	142.57001	1	14.257001
622215	170380	NULL	12	1774	VINAGRE BLANCO CLEMENTE JACQUES LT	0	10	0	0	14.323334	171.880008	1	14.323334
622216	170380	NULL	12	1201	NESCAFE CAPPUCCINO ORIGINAL 20 GRS	0	10	0	0	8.908334	106.900008	1	8.908334
622217	170380	NULL	20	1499	RIKOPOLLO 33GR	0	10	0	0	3.576001	71.52002	1	3.576001
622218	170380	NULL	50	979	KNORR SUIZA CALDO DE POLLO 2 PZA 22 GR	0	10	0	0	3.831201	191.56005	1	3.831201
622219	170380	NULL	25	4609	ENCENDEDOR TOKAI PZA C2	0	5	0.16	0	5.490001	137.250025	1	5.451201
622220	170380	NULL	12	626	FIBRA ESPONJA LIMON SCOTCH BRITE	0	5	0.16	0	12.143334333333334	145.720012	1	12.057501
622221	170380	NULL	24	1295	PASTA DENTAL COLGATE TRIPLE ACCION 50ML	0	5	0.16	0	15.675833333333333	376.22	1	15.565
622249	170380	NULL	12	5467	SUEROX ELECTRONITOS SABOR UVA DE 630 ML	0	5	0.16	0	13.667501	164.010012	1	13.667501
622250	170380	NULL	25	5939	TENDEDERO CAÑAMO	0	5	0.16	0	8.322757	208.068925	1	8.259601
622251	170380	NULL	1	1048	MANIOBRAS Y SERVICIOS	0	5	0.16	0	50.820001	50.820001	1	50.820001
